corpus,htid,text_string,lang,occurs,author,title,pub_date,gender,genre,white,origin_area,origin_nation,place_id,formatted_address,location_type,country_long,country_short,admin_1_long,admin_1_short,admin_2,admin_3,admin_4,admin_5,locality,sublocality_1,sublocality_2,sublocality_3,neighborhood,premise,subpremise,street_number,street_address,route,post_code,natural_feature,point_of_interest,colloquial_area,continent,other,lat,lon,wordcount
Hathi,mdp.39015070226223,paris,en,1,"Read, Opie","Odd folks.",1897,unknown,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,59259
Hathi,uc2.ark:/13960/t71v5d269,paris,en,1,"(Frank Edward), Smedley, Frank E","The fortunes of the Colville family, or, A cloud and its silver lining / And seven tales / by Frank E. Smedley : edited by Frank E. Smedley.",1886,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,163488
Hathi,uc2.ark:/13960/t2g738q1f,paris,en,1,"(Joseph Henry), Shorthouse, J. H","The Countess Eve, by J. H. Shorthouse.",1888,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,40252
Hathi,uc2.ark:/13960/t0ks71674,paris,en,10,"Lever, Charles James","Charles Lever's novels / Charles Lever.",1880,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,348809
Hathi,uc1.b4102391,paris,en,11,"Meredith, George","Lord Ormont and his Aminta; a novel.",1895,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,127898
Hathi,uc1.b3328905,paris,en,2,"James, Henry","Stories revived / by Henry James.",1885,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,85818
Hathi,uiuo.ark:/13960/t7jq1mf9x,paris,en,1,"Payn, James","A prince of the blood; a novel.",1888,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,53200
Hathi,uva.x030581120,paris,en,14,"Thackeray, William Makepeace","The works of William Makepeace Thackeray.",1886,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,207683
Hathi,njp.32101068141819,paris,en,3,"Lever, Charles James","Sir Brook Fossbrooke / by Charles Lever.",1882,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,262637
Hathi,uva.x001177545,paris,en,2,"Fielding, Henry","The history of Tom Jones, a foundling / by Henry Fielding ; with a memoir of the author.",1857,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,423058
Hathi,uc1.b3548787,paris,en,19,"Thackeray, William Makepeace",Works.,1886,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,171843
Hathi,nyp.33433074877642,paris,en,20,"Lever, Charles James","Tony Butler.",1889,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,241442
Hathi,uc2.ark:/13960/t19k4bx8b,paris,en,45,"Jerrold, Douglas William","Cakes and ale. By Douglas Jerrold.",1852,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,179591
Hathi,njp.32101067581411,paris,en,3,"Green, John","Tales and ballads of Wearside.",1885,male,Fiction,"","","",ChIJD7fiBh9u5kcRYJSMaMOCCwQ,"Paris, France",locality,France,FR,"Île-de-France","Île-de-France",Paris,"","","",Paris,"","","","","","","","","","","","","","","",48.856614,2.3522219,88253
